petName,enemyId,templateId,initNum,lvupPointSource,lvupPointEffective,baseVital,baseStr,baseTough,baseDex,get,poisonResist,paralysisResist,sleepResist,stoneResist,drunkResist,confusionResist,critical,counter,rare,lvMin,lvMax,enemyExp,hpMin,hpMax,attackMin,attackMax,defenseMin,defenseMax,agilityMin,agilityMax,rawVitalMin,rawVitalMax,rawStrMin,rawStrMax,rawToughMin,rawToughMax,rawDexMin,rawDexMax,growVitalMin,growVitalMax,growStrMin,growStrMax,growToughMin,growToughMax,growDexMin,growDexMax,rank,baseSum,earth,water,fire,wind,skill1,skill2,skill3,skill4,skill5,skill6,skill7,limitLevel,imageId
卡特利奴,539,524,21,4.5,4,19,29,12,30,5,0,0,0,0,0,0,3,3,0,15,15,0,110,154,24,35,12,23,21,32,1309,2387,2079,3157,770,1848,2156,3234,83,167,132,221,49,129,137,226,2,90,0,0,80,20,1,2,-1,-1,-1,-1,-1,-1,100329
乌力斯坦,1170,586,15,4.5,4,22,17,19,17,-20,0,0,0,0,0,0,1,1,1,15,25,0,97,216,14,38,15,40,10,32,1420,3774,1065,3219,1207,3441,1065,3219,110,204,82,174,93,186,82,174,5,75,100,0,0,0,1,20,-1,-1,-1,-1,-1,-1,100252
布比,1171,587,15,4.5,4,42,20,16,12,-20,0,0,0,0,0,0,2,0,1,15,25,0,150,299,17,43,14,39,7,26,2840,5994,1278,3552,994,3108,710,2664,196,291,88,172,68,151,49,129,2,90,80,20,0,0,1,-1,-1,-1,-1,-1,-1,-1,100254
卡梅兰恩,1172,588,12,4.5,4,20,21,33,10,-20,0,0,0,0,0,0,0,0,1,15,25,0,95,213,16,42,24,54,5,23,1224,3456,1292,3564,2108,4860,544,2376,95,185,100,191,164,261,42,127,4,84,0,0,80,20,1,2,10,-1,-1,-1,-1,-1,100273
里斯基,1173,589,17,4.5,4,19,16,19,23,-25,0,0,0,0,0,0,0,1,1,15,25,0,94,212,13,37,15,40,15,39,1241,3503,1022,3164,1241,3503,1533,3955,93,186,77,168,93,186,115,210,5,77,20,80,0,0,1,2,-1,-1,-1,-1,-1,-1,100294
克克洛斯,1174,590,20,4.5,4,18,22,10,35,-30,0,0,0,0,0,0,5,2,1,15,25,0,102,223,18,45,10,32,25,54,1216,3480,1520,3944,608,2552,2508,5452,81,168,102,190,40,123,168,263,3,85,0,0,0,100,1,120,-1,-1,-1,-1,-1,-1,100368
大地守护兽,1373,693,14,4.5,4,23,15,25,5,-3,0,0,0,0,0,0,1,0,0,50,50,0,279,401,37,68,56,87,6,35,4410,7350,2730,5670,4830,7770,630,3570,115,210,71,162,126,222,16,102,5,68,100,0,0,0,1,2,-1,-1,-1,-1,-1,-1,100338
水的守护兽,1374,694,20,4.5,4,33,17,20,18,-3,0,0,0,0,0,0,0,5,0,50,50,0,395,520,45,77,51,82,34,64,6696,9720,3240,6264,3888,6912,3456,6480,158,252,76,162,91,179,81,168,3,88,0,100,0,0,1,2,-1,-1,-1,-1,-1,-1,100380
火的守护兽,1375,695,26,4.5,4,20,34,13,18,-3,0,0,0,0,0,0,5,0,0,50,50,0,313,441,80,112,38,70,35,66,3996,7104,7104,10212,2442,5550,3552,6660,91,179,163,257,56,140,81,168,3,85,0,0,100,0,1,2,-1,-1,-1,-1,-1,-1,100290
风的守护兽,1376,696,25,4.5,4,22,32,11,21,-3,0,0,0,0,0,0,5,0,0,50,50,0,327,455,75,107,34,66,41,72,4420,7514,6630,9724,1989,5083,4199,7293,102,190,153,246,45,128,96,184,3,86,0,0,20,80,1,2,-1,-1,-1,-1,-1,-1,100394
布依胖,1747,730,27,4.5,4,34,29,25,23,-1,0,0,0,0,0,0,1,1,1,1,70,0,56,809,9,147,8,136,5,106,864,13938,729,12423,621,11211,567,10605,144,230,121,205,103,185,94,175,0,111,0,0,60,40,1,2,-1,-1,-1,-1,-1,-1,100825
波波顿,1762,786,19,4.5,4,33,30,19,17,11,0,0,0,0,0,0,1,1,0,1,70,0,36,743,6,143,4,114,2,85,589,13275,532,12390,323,9145,285,8555,145,234,131,218,79,161,70,150,1,99,80,20,0,0,1,2,-1,-1,-1,-1,-1,-1,100881
